timestamp,production,consumption,battery_charge,battery_discharge,grid_feedin,grid_consumption,battery_state_of_charge,direct_consumption
2023-01-01T00:00:00-05:00,0,340,25,0,0,365,85,0
2023-01-01T03:00:00-05:00,0,367,25,0,0,392,85,0
2023-01-01T06:00:00-05:00,0,352,25,0,0,377,85,0
2023-01-01T09:00:00-05:00,0,418,25,0,0,443,85,0
2023-01-01T12:00:00-05:00,0,432,25,0,0,457,85,0
2023-01-01T15:00:00-05:00,0,426,25,0,0,451,84,0
2023-01-01T18:00:00-05:00,0,416,25,0,0,441,84,0
2023-01-01T21:00:00-05:00,0,430,25,0,0,455,84,0
2023-01-02T00:00:00-05:00,0,345,25,0,0,370,84,0
2023-01-02T03:00:00-05:00,0,321,25,0,0,346,84,0
2023-01-02T06:00:00-05:00,0,318,25,0,0,343,84,0
2023-01-02T09:00:00-05:00,0,364,25,0,0,389,84,0
2023-01-02T12:00:00-05:00,0,408,25,0,0,433,84,0
2023-01-02T15:00:00-05:00,0,391,25,0,0,416,84,0
2023-01-02T18:00:00-05:00,0,383,25,0,0,408,84,0
2023-01-02T21:00:00-05:00,0,333,25,0,0,358,84,0
2023-01-03T00:00:00-05:00,0,268,25,0,0,293,84,0
2023-01-03T03:00:00-05:00,0,222,25,0,0,247,84,0
2023-01-03T06:00:00-05:00,0,208,25,0,0,233,84,0
2023-01-03T09:00:00-05:00,0,278,25,0,0,303,84,0
2023-01-03T12:00:00-05:00,0,350,25,0,0,375,83,0
2023-01-03T15:00:00-05:00,0,322,25,0,0,347,83,0
2023-01-03T18:00:00-05:00,0,318,25,0,0,343,83,0
2023-01-03T21:00:00-05:00,0,319,25,0,0,344,83,0
2023-01-04T00:00:00-05:00,0,279,25,0,0,304,83,0
2023-01-04T03:00:00-05:00,0,226,25,0,0,251,83,0
2023-01-04T06:00:00-05:00,0,244,25,0,0,269,83,0
2023-01-04T09:00:00-05:00,0,291,25,0,0,316,83,0
2023-01-04T12:00:00-05:00,0,311,25,0,0,336,83,0
2023-01-04T15:00:00-05:00,0,332,25,0,0,357,83,0
2023-01-04T18:00:00-05:00,0,388,25,0,0,413,83,0
2023-01-04T21:00:00-05:00,0,383,25,0,0,408,83,0
2023-01-05T00:00:00-05:00,0,254,25,0,0,279,83,0
2023-01-05T03:00:00-05:00,0,345,25,0,0,370,83,0
2023-01-05T06:00:00-05:00,0,314,111,0,0,425,83,0
2023-01-05T09:00:00-05:00,0,258,25,0,0,283,85,0
2023-01-05T12:00:00-05:00,0,376,25,0,0,401,84,0
2023-01-05T15:00:00-05:00,0,413,25,0,0,438,84,0
2023-01-05T18:00:00-05:00,0,393,25,0,0,418,84,0
2023-01-05T21:00:00-05:00,0,335,25,0,0,360,84,0
